categoria,porcentagem
Open Source,2.1739130434782608
Mobile,100.0
Java,35.95505617977528
Software Engineering,6.22568093385214
Internet,15.298507462686567
Web Development,6.181818181818182
Miscellaneous,0.7843137254901961
Microsoft .NET,12.781954887218044
Microsoft,3.149606299212598
Next Generation Databases,6.25
PowerBuilder,7.368421052631578
Client-Server,4.089219330855019
Computer Graphics,2.34375
Object-Oriented Programming,1.9047619047619049
S,3.8461538461538463
Networking,2.6022304832713754
Theory,2.928870292887029
Programming,5.333333333333334
Python,2.7149321266968327
Mobile Technology,2.371541501976284
Business,4.819277108433735
P,2.0408163265306123
XML,1.4925373134328357
Perl,2.34375
java,1.5384615384615385
Microsoft/.NET,1.0204081632653061
Miscella,0.8403361344537815
Object-Technology Programming,0.8130081300813009
,0.8032128514056224
internet,0.7092198581560284
.NET,0.5181347150259068
Algorithmic Art,0.5128205128205128
PHP,0.47393364928909953
SOA,0.45454545454545453
Computer Graph,0.43859649122807015
Client Server,0.4016064257028112
In Action,0.398406374501992
Software Development,0.38167938931297707
